id,split
0x61fc95,test
0x35663e,train
0xc78afe,train
0x90089c,train
0xaba820,test
0x66e44d,test
0xc03cf5,test
0x2ffb63,train
0x02f65a,test
0x989146,train
0x111ebf,train
0xb9a96c,train
0xcc5e81,train
0x08f6d6,train
0xb855e1,train
0xaa3a20,train
0x479407,test
0x784799,train
0xd64e57,train
0x77f7de,train
0xe07a21,test
0x0efb36,train
0xd97dc1,train
0x5bbbaf,train
0x0f6fe1,train
0x63778f,train
0x5ab56d,train
0x06d186,test
0xc17678,train
0xa9a658,test
0x608869,train
0xa41842,train
0x6b3627,train
0xf2c061,train
0xa0d2b5,train
0xa8a536,train
0xf6092f,train
0xc39185,train
0xa2e767,train
0xdcb12d,train
0x7d8c89,train
0x0a0102,test
0xebf370,train
0x5a52b9,train
0x583ce2,train
0x54afc3,train
0xa794c1,train
0xc32edf,test
0x787ff9,train
0x198b91,test
0x05ff68,train
0x3931ad,train
0xc81672,train
0x17646e,train
0x145c99,train
0x745c66,test
0x3ed9e0,train
0xa413f7,train
0x6c2c68,train
0x5025d6,train
0xb41434,test
0x75fc2c,test
0xab20d5,train
0x4cfc30,test
0xc4a501,train
0x82e70d,test
0xda3368,train
0x48b7ea,test
0xb25068,train
0xbc0fef,train
0x5fd03b,train
0xb3c4d5,train
0x5907df,test
0xa6d431,train
0x16d325,test
0xdcf537,test
0xedee99,train
0x745344,train
0x574ebe,test
0x63305f,test
0xb9201b,test
0x5f0242,train
0x5ec84b,test
0x44c4cc,test
0x358594,train
0xf4e662,test
0x925dae,train
0x7b3a81,train
0xe1add2,train
0x4bd129,test
0x99e889,train
0xbdf2c5,train
0x11449a,train
0x749b94,train
0x001058,train
0x894c0a,test
0x76061e,train
0xe1b416,test
0xedd663,train
0xe0fe3b,test
0x6c7be0,train
0x892047,train
0xf176ac,test
0x74870b,train
0x3d99f1,train
0x93623a,test
0x08ca86,train
0x9d65da,train
0xe5f444,train
0x0a47d7,test
0xc6d39f,train
0x4a956b,train
0x710f5d,test
0x3ba5b5,train
0x98ad68,train
0xc4fb7c,train
0xc3f67e,train
0x3e4579,train
0x9284d9,train
0xd22ff8,train
0x34e51b,train
0xc61d31,train
0xa684ed,train
0x54f010,test
0x9ffa50,train
0xc3d5d0,train
0x4452be,train
0x3733cc,train
0x6dc138,train
0xa7e1db,train
0xb1467f,train
0xf56b3a,train
0x2951fd,train
0xebd883,train
0xb94c71,train
0x42927f,train
0xe30b0a,train
0x5fe9fc,train
0x7a836d,train
0xa860d2,train
0xbe9b73,test
0x16a031,test
0x021a30,test
0xdf4fd3,train
0xf864aa,train
0x37c7bd,test
0x1b2fde,test
0x4e6195,train
0xc13026,train
0xc82679,test
0x1b7f25,train
0xe0766e,test
0x6fb546,train
0x059c10,train
0xcd1f6c,test
0x9023c3,test
0x51f3bf,train
0x4bbf3a,train
0x05299c,train
0x27d4cf,train
0xa8ddea,train
0x4ceb54,test
0x2045e7,train
0x16a0b4,train
0x9e8d80,train
0x79685b,test
0x4b1299,test
0x280720,test
0x8a5bba,train
0x8d0a46,test
0xbfeb03,test
0x5b7bb0,train
0xa4aceb,train
0x64f2c9,train
0xe3e515,test
0x221655,train
0x73da60,train
0x99625d,train
0xab9709,train
0x37f893,train
0x0db36b,test
0x98ee0d,train
0xdc8831,train
0x75cff9,train
0x0ee0ce,train
0xc5d418,train
0x43c90d,train
0xb1983d,test
0xd470db,test
0xb73407,train
0x05d5f8,train
0xdea934,train
0x6ffc24,train
0x87f385,train
0xd0683f,train
0xbf5569,train
0xdde0df,train
0x49f0ef,train
0x5edb8e,train
0x2bedef,train
0x490c66,train
0x9cba15,train
0x56e339,test
0x14f70f,test
0x418f4f,train
0x408e9f,train
0xa93fcf,train
0xe7094e,train
0x074034,train
0xb154a7,train
0x544ffa,train
0x4fd1c1,test
0xf71809,train
0x19b82b,test
0x2ec205,train
0x7e221b,test
0x14a19b,train
0x10b421,train
0xf587af,train
0xcf889d,test
0x480e6e,test
0xff2aa9,train
0x205188,train
0x669563,train
0xd6272b,train
0x58001d,train
0x792c8f,train
0x0fd050,train
0xc47eb1,train
0x78b95e,train
0x852cf0,train
0x9f3db7,test
0x8e2c04,train
0x4018f2,train
0x006450,test
0xde5761,train
0xbe86a8,train
0x99638f,test
0x342d78,test
0xbe605a,train
0x824e17,test
0xc11342,test
0xfbdd46,train
0x73400d,train
0x64e967,train
0xfbe65c,train
0x968dce,train
0x6c69af,train
0x86b76d,train
0xa8cf08,train
0x6e90c9,test
0xceef97,train
0xd1eed8,train
0xeba3a8,train
0xd0f5d5,train
0x1e96fb,train
0xc38233,train
0x0a184d,train
0xcd19fd,train
0xc68686,train
0x5a573f,train
0xd1a1cf,train
0xd0631d,train
0xd13f87,train
0x198d4f,train
0x1fee23,train
0x10df8e,train
0x5122a2,test
0x3605af,test
0x10ab9a,test
0xcb0092,train
0x4813c2,train
0x2374c4,test
0x5f6a35,train
0xb95901,train
0x0ca190,train
0x75ce0b,train
0x9f278a,train
0x1e1e43,test
0xf3c403,train
0xd09217,test
0x6e0bd5,train
0x59b3f9,train
0x572251,train
0x79b00b,train
0xb097bf,train
0x224ee7,test
0x9178d4,train
0x3c5fc7,train
0xf26f89,train
0xa54cfc,train
0x69f672,test
0x0e1115,test
0x67905b,train
0x5af6d0,train
0x76f128,test
0x14b1cc,test
0x840917,train
0x67fb20,train
0x9dd5d8,test
0x62cc7f,train
0x35005f,train
0xf6c2e2,train
0x2d5cc8,train
0x0cedab,test
0x5ed608,train
0x477e0a,train
0x9e8883,test
0x436609,train
0xfbf705,test
0x36de2d,test
0x29e8ca,test
0x64b2ec,test
0x78513e,train
0x66a10a,train
0x825df6,train
0x76dde6,train
0xc3431d,train
0x006977,train
0x599124,test
0x7630df,train
0xbcd811,train
0x1c34df,train
0xd55df2,train
0xe2569f,train
0xee43dd,train
0x73530a,train
0x84664a,test
0x1a3afc,train
0x859232,train
0x537154,train
0x442893,train
0xc52081,train
0x2d11b4,test
0x1ae78a,test
0xb966b3,test
0x149fc5,train
0x9f726e,test
0xb7cee8,test
0x8456e6,train
0x389986,test
0x811392,test
0x3dceb6,train
0xf8560b,train
0xe6dfc6,test
0x7f9e73,train
0xdfc769,test
0x17df9a,train
0xea007f,test
0x6ac67f,train
0xa86fdc,train
0x2d74e7,train
0x0c14d5,train
0x17d5b2,train
0xe578d1,train
0xbe3a86,test
0x376df7,train
0xad44b5,train
0xf84c46,train
0x2cf8f4,train
0x10e18a,train
0x2aaf57,train
0x13ec1e,train
0xa9e273,test
0xf6e6a4,test
0x31a59a,test
0xb7d0ae,train
0xcabadb,train
0xe123da,train
0x517238,train
0x4343be,train
0x5c0a8d,train
0x4ce6c8,test
0x401fed,test
0xb1c334,train
0x764d52,train
0xe3a4bf,test
0xe64667,train
0x53b078,train
0xcd3b72,train
0x78d504,train
0xe862f9,train
0xe9d943,train
0x4a4af4,test
0x94ce3a,train
0x50fede,train
0x09e3a3,test
0x5377b9,train
0x1b9895,test
0xe20497,train
0x06ebdb,test
0x05febd,train
0xeba6cd,train
0x8b4b93,train
0x2cd89c,train
0x70be1c,train
0x610bcc,test
0x046a3c,test
0x6c393e,train
0xc47fb7,train
0xc734e3,train
0x86b422,train
0x42e1a1,test
0x465dee,train
0x4919d4,test
0x2cde72,train
