id,emotion
0x35663e,joy
0xc78afe,fear
0x90089c,joy
0x2ffb63,joy
0x989146,joy
0x111ebf,anger
0xb9a96c,anger
0xcc5e81,joy
0x08f6d6,joy
0xb855e1,anger
0xaa3a20,joy
0x784799,anger
0xd64e57,surprise
0x77f7de,joy
0x0efb36,anger
0xd97dc1,joy
0x5bbbaf,joy
0x0f6fe1,joy
0x63778f,joy
0x5ab56d,joy
0xc17678,joy
0x608869,surprise
0xa41842,surprise
0x6b3627,fear
0xf2c061,joy
0xa0d2b5,joy
0xa8a536,joy
0xf6092f,joy
0xc39185,sadness
0xa2e767,anger
0xdcb12d,joy
0x7d8c89,joy
0xebf370,anger
0x5a52b9,anger
0x583ce2,joy
0x54afc3,anger
0xa794c1,joy
0x787ff9,anger
0x05ff68,joy
0x3931ad,joy
0xc81672,joy
0x17646e,surprise
0x145c99,fear
0x3ed9e0,joy
0xa413f7,joy
0x6c2c68,joy
0x5025d6,joy
0xab20d5,joy
0xc4a501,anger
0xda3368,joy
0xb25068,joy
0xbc0fef,surprise
0x5fd03b,anger
0xb3c4d5,fear
0xa6d431,anger
0xedee99,surprise
0x745344,anger
0x5f0242,joy
0x358594,joy
0x925dae,surprise
0x7b3a81,joy
0xe1add2,joy
0x99e889,anger
0xbdf2c5,surprise
0x11449a,joy
0x749b94,anger
0x001058,joy
0x76061e,sadness
0xedd663,surprise
0x6c7be0,joy
0x892047,sadness
0x74870b,anger
0x3d99f1,joy
0x08ca86,joy
0x9d65da,joy
0xe5f444,joy
0xc6d39f,joy
0x4a956b,joy
0x3ba5b5,joy
0x98ad68,sadness
0xc4fb7c,joy
0xc3f67e,sadness
0x3e4579,joy
0x9284d9,joy
0xd22ff8,joy
0x34e51b,joy
0xc61d31,joy
0xa684ed,sadness
0x9ffa50,joy
0xc3d5d0,fear
0x4452be,joy
0x3733cc,anger
0x6dc138,anger
0xa7e1db,joy
0xb1467f,anger
0xf56b3a,joy
0x2951fd,joy
0xebd883,surprise
0xb94c71,anger
0x42927f,fear
0xe30b0a,surprise
0x5fe9fc,anger
0x7a836d,surprise
0xa860d2,joy
0xdf4fd3,anger
0xf864aa,joy
0x4e6195,joy
0xc13026,joy
0x1b7f25,joy
0x6fb546,sadness
0x059c10,anger
0x51f3bf,joy
0x4bbf3a,joy
0x05299c,joy
0x27d4cf,joy
0xa8ddea,anger
0x2045e7,joy
0x16a0b4,joy
0x9e8d80,anger
0x8a5bba,anger
0x5b7bb0,surprise
0xa4aceb,surprise
0x64f2c9,anger
0x221655,anger
0x73da60,anger
0x99625d,surprise
0xab9709,joy
0x37f893,anger
0x98ee0d,joy
0xdc8831,surprise
0x75cff9,joy
0x0ee0ce,anger
0xc5d418,anger
0x43c90d,anger
0xb73407,surprise
0x05d5f8,joy
0xdea934,joy
0x6ffc24,sadness
0x87f385,joy
0xd0683f,joy
0xbf5569,surprise
0xdde0df,anger
0x49f0ef,sadness
0x5edb8e,joy
0x2bedef,surprise
0x490c66,anger
0x9cba15,surprise
0x418f4f,sadness
0x408e9f,sadness
0xa93fcf,sadness
0xe7094e,joy
0x074034,anger
0xb154a7,joy
0x544ffa,joy
0xf71809,joy
0x2ec205,joy
0x14a19b,joy
0x10b421,joy
0xf587af,joy
0xff2aa9,anger
0x205188,joy
0x669563,anger
0xd6272b,anger
0x58001d,joy
0x792c8f,anger
0x0fd050,surprise
0xc47eb1,fear
0x78b95e,fear
0x852cf0,joy
0x8e2c04,joy
0x4018f2,anger
0xde5761,anger
0xbe86a8,anger
0xbe605a,joy
0xfbdd46,joy
0x73400d,surprise
0x64e967,joy
0xfbe65c,fear
0x968dce,anger
0x6c69af,sadness
0x86b76d,joy
0xa8cf08,joy
0xceef97,joy
0xd1eed8,surprise
0xeba3a8,sadness
0xd0f5d5,anger
0x1e96fb,joy
0xc38233,joy
0x0a184d,joy
0xcd19fd,anger
0xc68686,disgust
0x5a573f,disgust
0xd1a1cf,joy
0xd0631d,joy
0xd13f87,anger
0x198d4f,surprise
0x1fee23,anger
0x10df8e,joy
0xcb0092,joy
0x4813c2,disgust
0x5f6a35,fear
0xb95901,sadness
0x0ca190,anger
0x75ce0b,surprise
0x9f278a,joy
0xf3c403,joy
0x6e0bd5,joy
0x59b3f9,anger
0x572251,anger
0x79b00b,joy
0xb097bf,joy
0x9178d4,joy
0x3c5fc7,surprise
0xf26f89,joy
0xa54cfc,joy
0x67905b,fear
0x5af6d0,surprise
0x840917,joy
0x67fb20,disgust
0x62cc7f,joy
0x35005f,surprise
